enzyme,role,drug
CYP1A2,substrate,caffeine
CYP1A2,substrate,theophylline
CYP1A2,inhibitor,ciprofloxacin
CYP1A2,inducer,smoking
CYP2C9,substrate,warfarin
CYP2C9,substrate,phenytoin
CYP2C9,inhibitor,fluconazole
CYP2C9,inducer,rifampin
CYP2C19,substrate,omeprazole
CYP2C19,substrate,clopidogrel
CYP2C19,inhibitor,omeprazole
CYP2C19,inducer,rifampin
CYP2D6,substrate,codeine
CYP2D6,substrate,metoprolol
CYP2D6,inhibitor,paroxetine
CYP2D6,inhibitor,fluoxetine
CYP3A4,substrate,midazolam
CYP3A4,substrate,atorvastatin
CYP3A4,substrate,cyclosporine
CYP3A4,inhibitor,ketoconazole
CYP3A4,inhibitor,itraconazole
CYP3A4,inhibitor,clarithromycin
CYP3A4,inducer,rifampin
CYP3A4,inducer,carbamazepine
CYP3A4,inducer,phenytoin
